CustomerID,Tenure,ContractType,InternetService,PaymentMethod,MonthlyCharges,TotalCharges,NumSupportCalls,SeniorCitizen,Partner,PaperlessBilling,Churn
CUST10000,6,Month-to-Month,No,Mailed Check,39.08,224.56,0,0,Yes,No,Yes
CUST10001,55,Month-to-Month,Fiber Optic,Electronic Check,77.07,3944.09,4,0,No,No,Yes
CUST10002,47,Month-to-Month,DSL,Bank Transfer,49.81,2273.09,1,0,Yes,Yes,No
CUST10003,31,Month-to-Month,Fiber Optic,Bank Transfer,23.77,728.17,2,0,Yes,Yes,No
CUST10004,31,One Year,DSL,Mailed Check,57.81,1728.73,1,0,Yes,No,No
CUST10005,61,Month-to-Month,Fiber Optic,Credit Card,98.12,5526.27,0,0,Yes,Yes,Yes
CUST10006,6,Two Year,Fiber Optic,Bank Transfer,76.52,438.19,2,0,Yes,No,Yes
CUST10007,50,Month-to-Month,DSL,Electronic Check,115.45,5631.61,1,1,Yes,No,No
CUST10008,14,One Year,DSL,Credit Card,69.43,966.13,2,0,No,Yes,Yes
CUST10009,6,Month-to-Month,Fiber Optic,Electronic Check,120.0,659.27,3,0,Yes,Yes,Yes
CUST10010,37,One Year,DSL,Bank Transfer,69.44,2345.11,0,0,Yes,Yes,Yes
CUST10011,70,One Year,No,Mailed Check,65.56,4319.79,5,0,Yes,No,No
CUST10012,52,Month-to-Month,Fiber Optic,Bank Transfer,33.02,1566.9,2,0,No,Yes,Yes
CUST10013,54,Two Year,Fiber Optic,Credit Card,92.76,4999.24,0,0,No,Yes,No
CUST10014,51,Month-to-Month,DSL,Bank Transfer,52.45,2520.95,3,0,No,Yes,Yes
CUST10015,56,Month-to-Month,Fiber Optic,Bank Transfer,48.82,2606.41,1,0,Yes,No,Yes
CUST10016,36,One Year,No,Credit Card,97.03,3223.1,2,0,No,No,No
CUST10017,9,Two Year,DSL,Bank Transfer,93.96,799.06,3,0,Yes,No,No
CUST10018,60,Month-to-Month,DSL,Credit Card,93.3,5589.43,3,0,Yes,No,No
CUST10019,32,Month-to-Month,DSL,Mailed Check,55.95,1698.85,1,0,Yes,No,Yes
CUST10020,36,Two Year,Fiber Optic,Electronic Check,63.73,2066.88,2,0,No,No,No
CUST10021,26,One Year,Fiber Optic,Electronic Check,63.5,1525.94,2,0,Yes,Yes,No
CUST10022,13,Two Year,Fiber Optic,Bank Transfer,84.56,1096.91,1,0,No,Yes,No
CUST10023,66,Month-to-Month,Fiber Optic,Bank Transfer,103.84,6845.95,0,0,No,No,Yes
CUST10024,56,One Year,DSL,Electronic Check,74.2,3827.14,1,0,No,Yes,No
CUST10025,46,Month-to-Month,DSL,Electronic Check,114.37,5058.61,0,0,Yes,Yes,Yes
CUST10026,28,Two Year,DSL,Credit Card,87.43,2222.06,0,0,No,No,No
